ID,region,tenure,age,marital,address,income,ed,retire,gender,voice,internet,forward,custcat,churn,event,survival_12m,churn_risk_12m,CLV_12m_AMD,at_risk_12m,survival_m1,survival_m2,survival_m3,survival_m4,survival_m5,survival_m6,survival_m7,survival_m8,survival_m9,survival_m10,survival_m11,survival_m12
11,Zone 2,5,33,Unmarried,10,125,College degree,No,Female,No,Yes,No,Basic service,Yes,1,0.6200528608625079,0.3799471391374921,11822.243788838385,True,0.9852968042787245,0.9511096451279074,0.9115227276900442,0.87148173258046,0.832798901282138,0.7961380159569599,0.7616911757232614,0.7294456655666979,0.699299855276895,0.6711166994075459,0.6447492492072107,0.6200528608625079
12,Zone 3,7,35,Unmarried,14,80,High school degree,No,Female,Yes,No,Yes,Plus service,No,0,0.918349625275357,0.08165037472464298,14396.299532010184,False,0.9994554391001282,0.9969665675950112,0.9926284268461768,0.9868535987151337,0.9799986469856131,0.9723391974055109,0.9640846272588097,0.9553944131272745,0.9463909645704157,0.9371690400241554,0.9278025703561187,0.918349625275357
13,Zone 1,41,38,Married,8,37,High school degree,No,Female,No,No,No,Basic service,No,0,0.9115310086011323,0.08846899139886766,14348.038984253846,False,0.9993648776544244,0.9965364932672391,0.9916856267817755,0.9852987267445031,0.9777795553964514,0.9694332853627469,0.9604879487079612,0.9511148769894192,0.941443994697989,0.9315747469579343,0.9215838768861453,0.9115310086011323
14,Zone 2,57,54,Married,30,115,College degree,No,Female,Yes,Yes,Yes,Total service,Yes,1,0.9888439991109697,0.011156000889030349,14851.456834783137,False,0.9999839047695137,0.9998610655963435,0.9995651240389674,0.9990734479746171,0.9983835518261217,0.9975020658558538,0.9964396659993705,0.9952086115300481,0.9938215067100772,0.9922906727972222,0.9906278381652801,0.9888439991109697
15,Zone 2,9,46,Unmarried,3,25,Did not complete high school,No,Female,No,No,No,Basic service,No,0,0.8585504805965389,0.14144951940346107,13954.057935107334,False,0.9983915057879037,0.9923229913583153,0.9829294641990245,0.9713904459279237,0.9584961193006336,0.944768508815673,0.9305584630032817,0.9161061588294931,0.9015784296987109,0.8870923099935064,0.8727302935257399,0.8585504805965389
16,Zone 1,29,38,Married,12,75,Post-undergraduate degree,No,Male,No,Yes,No,E-service,No,0,0.9472675106362933,0.05273248936370667,14593.83914033599,False,0.9997596558600881,0.9985061825693309,0.9961332599568136,0.9927918875992539,0.9886540618364253,0.9838711900841967,0.9785689462604954,0.972849983053758,0.9667979400595961,0.9604811324139458,0.9539555956026899,0.9472675106362933
17,Zone 3,60,57,Unmarried,38,162,High school degree,No,Male,No,No,Yes,Plus service,No,0,0.9991206294936023,0.0008793705063977475,14906.092348629987,False,0.9999997142187177,0.9999962380138921,0.9999849548959522,0.9999618946988902,0.9999240296080738,0.9998691331076451,0.9997956057821207,0.9997023297202084,0.9995885558233868,0.9994538181840589,0.9992978690985395,0.9991206294936023
18,Zone 3,34,48,Unmarried,3,49,High school degree,No,Female,No,No,Yes,Plus service,No,0,0.9598631457203348,0.04013685427966518,14675.7939161623,False,0.9998535363764094,0.9990297466795878,0.9973943353934324,0.9950155158884665,0.9919967061433573,0.988438193144788,0.9844282237894033,0.9800420354263546,0.9753430939076615,0.970384804641853,0.9652121560865895,0.9598631457203348
19,Zone 2,1,24,Unmarried,3,20,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0.6784460827553465,0.32155391724465354,12396.995343795732,True,0.9902474332239201,0.9651185905928092,0.934213760261222,0.901676175783089,0.8692861517615604,0.8378460539444046,0.8077108085610263,0.7790164265746966,0.7517877168751469,0.7259924482164812,0.7015698524833469,0.6784460827553465
20,Zone 1,26,29,Married,3,77,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,1,0.7642579311384892,0.23574206886151083,13179.082521675236,False,0.9952351372187689,0.9807811311890197,0.9611877127963756,0.9391732050125544,0.9161653363123639,0.8929467022255935,0.8699595397404948,0.8474561597710397,0.8255781838973313,0.804400650035267,0.7839576764259237,0.7642579311384892
21,Zone 3,6,30,Unmarried,7,16,Some college,No,Female,No,Yes,No,E-service,Yes,1,0.8155470510773715,0.18445294892262853,13611.77380653869,False,0.9972049228513041,0.9877314776143825,0.9739977567252612,0.9578558208575916,0.9404058713424381,0.9223140918352947,0.9039953695339239,0.8857134003851523,0.8676375439342738,0.8498764997255601,0.8324990182091216,0.8155470510773715
22,Zone 1,68,52,Married,17,120,Did not complete high school,No,Male,No,No,Yes,Basic service,No,0,0.9787777375715523,0.021222262428447713,14792.964085025511,False,0.9999522028982101,0.9996365472998454,0.9989429155714998,0.9978612587642703,0.9964145349650819,0.9946357699271466,0.9925596324396095,0.9902192189856237,0.9876449029114159,0.9848640476186742,0.9819010846742828,0.9787777375715523
23,Zone 3,53,33,Unmarried,10,101,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,0,0.7641978526878777,0.23580214731212235,13178.56041458696,False,0.9952324332948763,0.9807719948679318,0.9611713005667576,0.9391497043420877,0.9161352781620242,0.8929107126147868,0.8699182433319766,0.847410142468296,0.825527980103595,0.8043467405749781,0.7839004910250083,0.7641978526878777
24,Zone 3,55,48,Married,19,67,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0.9762981757105298,0.023701824289470208,14778.081362905172,False,0.9999421473571721,0.9995700630748855,0.9987660421833668,0.9975266132044021,0.9958832443243355,0.9938767694110107,0.9915484650408563,0.9889368741696795,0.986076820620394,0.9829992976927387,0.9797317002800894,0.9762981757105298
25,Zone 3,14,43,Married,18,36,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,0.9924804803243248,0.0075195196756752125,14871.620640230549,False,0.9999916058382481,0.999922065414316,0.9997455328892874,0.9994414468645488,0.9990029268557276,0.9984301744037916,0.9977270890081081,0.99689946396473,0.9959539881526378,0.9948976799397047,0.9937375627530036,0.9924804803243248
26,Zone 2,1,21,Unmarried,0,33,High school degree,No,Female,No,No,Yes,Plus service,No,0,0.8167586885990021,0.18324131140099786,13621.678000554546,False,0.9972437918512468,0.9878758210980768,0.9742717796333294,0.9582638800926248,0.9409439054659533,0.9229745019043425,0.9047692444548117,0.8865915761589332,0.8686111128971248,0.8509370468053751,0.8336387172737003,0.8167586885990021
27,Zone 2,42,40,Unmarried,7,37,High school degree,No,Female,Yes,Yes,No,Total service,No,0,0.7931240386249441,0.20687596137505593,13425.821829055261,False,0.9964240201251012,0.9848977608592112,0.9686900555921505,0.950026700981099,0.9301587028562275,0.9098114533224919,0.8894186813771235,0.8692444281669442,0.8494499538095736,0.8301322696974346,0.8113472608260435,0.7931240386249441
28,Zone 3,25,33,Married,11,31,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,0.9730771647627865,0.026922835237213505,14758.51204739308,False,0.9999277836976772,0.9994775797319262,0.9985237856704399,0.9970732739505433,0.995169622975693,0.9928643671017551,0.9902076240478498,0.9872450916524375,0.9840173505828345,0.9805600251277607,0.9769042423816946,0.9730771647627865
29,Zone 1,9,21,Married,1,17,High school degree,No,Female,No,No,No,Basic service,No,0,0.7430060130834057,0.25699398691659425,12992.178322353779,True,0.9942153532137071,0.9773968772618968,0.9551717617747505,0.9306226456375336,0.9052915114512485,0.8799879621602384,0.8551486814156635,0.8310085432644143,0.8076882445083897,0.7852419055688171,0.7636841412510602,0.7430060130834057
30,Zone 2,13,33,Married,9,19,College degree,No,Female,No,Yes,No,E-service,No,0,0.9167243969213335,0.08327560307866655,14384.851284737255,False,0.9994345263946002,0.996866367247921,0.9924076292572306,0.9864881206102631,0.9794755590544559,0.9716526227126986,0.963233182596683,0.9543795986894892,0.9452161289849293,0.9358387015211201,0.9263219639644173,0.9167243969213335
31,Zone 1,56,37,Married,6,36,Did not complete high school,No,Female,No,Yes,No,E-service,No,0,0.9188777299140032,0.08112227008599682,14400.012077291716,False,0.9994621445783457,0.996998815688161,0.9926996421862223,0.9869716608010772,0.9801678247392521,0.9725614673304143,0.964360499544691,0.9557234533524009,0.9467721299815894,0.9376009006994401,0.9282834571222527,0.9188777299140032
32,Zone 1,71,53,Married,27,155,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,No,0,0.9846315409840201,0.01536845901597994,14827.39573555969,False,0.9999724463258667,0.9997764110787203,0.9993247673470397,0.9985971725005657,0.9975997692012104,0.9963490007890244,0.9948648842149593,0.9931680472797714,0.9912784035692346,0.9892145865253349,0.986993748996743,0.9846315409840201
33,Zone 1,35,50,Married,26,140,High school degree,No,Female,No,No,Yes,Plus service,No,0,0.9980355885094225,0.0019644114905774668,14900.800724923783,False,0.9999990136271222,0.9999885168765511,0.9999572422552835,0.9998970333084747,0.9998025627967907,0.9996705179410584,0.9994989817070759,0.9992870059644001,0.9990343192742789,0.9987411247818421,0.9984079584855753,0.9980355885094225
34,Zone 1,11,27,Married,8,55,Post-undergraduate degree,No,Male,No,Yes,No,E-service,No,0,0.8819143008560107,0.11808569914398925,14131.771720779305,False,0.998882127637057,0.9943728226711473,0.9870991228900582,0.9779118636351936,0.9674285264468743,0.9560793714154598,0.944166427216816,0.9319047638740252,0.9194496124228488,0.9069142421097731,0.8943819552491226,0.8819143008560107
35,Zone 2,60,46,Married,13,163,Some college,No,Male,Yes,Yes,Yes,Total service,No,0,0.9350469450411518,0.06495305495884818,14511.842625432644,False,0.9996464970736446,0.9979120672312182,0.9947519798646576,0.99041673010753,0.9851525905076839,0.9791628608189451,0.9726092861133141,0.9656197318654137,0.9582955606674575,0.950717578002069,0.9429506036419598,0.9350469450411518
36,Zone 3,20,35,Married,11,52,College degree,No,Male,No,Yes,No,E-service,Yes,1,0.9336325201363499,0.0663674798636501,14502.20683722603,False,0.9996319653933062,0.9978379286680495,0.9945824989353331,0.9901287876472471,0.9847320596656316,0.9786017046298506,0.97190359130144,0.9647683968933013,0.9572994107439522,0.9495787586720377,0.9416721589323097,0.9336325201363499
37,Zone 2,54,60,Unmarried,38,211,College degree,No,Male,Yes,Yes,No,Total service,No,0,0.9911679302838672,0.008832069716132818,14864.417362116925,False,0.9999890683669974,0.9999014379295745,0.9996836050474093,0.9993137860727108,0.9987863067631589,0.9981034227204031,0.9972713031968573,0.9962979649365425,0.9951921682674276,0.9939628148351529,0.9926186185556309,0.9911679302838672
38,Zone 1,44,57,Married,1,186,High school degree,No,Male,Yes,No,Yes,Plus service,No,0,0.9727040989006633,0.02729590109933666,14756.22908403202,False,0.999926025344683,0.9994664307788348,0.9984948435302342,0.9970194600502241,0.9950853329732628,0.9927452725491711,0.9900504363975686,0.9870473549849698,0.9837772728211112,0.9802763438039325,0.9765761185196568,0.9727040989006633
39,Zone 1,11,41,Married,0,39,Did not complete high school,No,Female,Yes,No,Yes,Plus service,Yes,1,0.9258922839145712,0.07410771608542877,14448.970501459462,False,0.99954706583784,0.9974126565820445,0.9936206700865824,0.9885070037458665,0.9823773510312053,0.9754745909244282,0.9679868902566815,0.9600598841118301,0.951806936544584,0.9433169429250393,0.9346601182064956,0.9258922839145712
40,Zone 2,72,57,Unmarried,34,22,High school degree,Yes,Female,No,No,Yes,Plus service,No,0,0.9986462835760078,0.0013537164239921795,14903.808399534251,False,0.9999994462716388,0.999993169155773,0.9999736941704636,0.9999351277826152,0.9998733028172754,0.9997853833704554,0.9996695103701063,0.9995245369090485,0.9993498369793762,0.9991451673635663,0.9989105671043972,0.9986462835760078
41,Zone 3,10,41,Unmarried,7,30,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,0.9539024243026631,0.04609757569733686,14637.355343646826,False,0.9998119469046622,0.9987934073795806,0.9968188664941517,0.9939930182061751,0.9904505610992553,0.9863155675414278,0.9816939640556045,0.9766741090258567,0.9713292425695372,0.9657200822832855,0.9598971034142247,0.9539024243026631
42,Zone 2,15,28,Unmarried,0,29,High school degree,No,Female,No,No,Yes,Plus service,No,0,0.8637497894320298,0.13625021056797015,13994.123892026968,False,0.9985095375372584,0.9928056908221372,0.9838990128269304,0.9728932149854208,0.9605400461276753,0.947341799676913,0.9336392611460409,0.9196677587063998,0.9055921754991757,0.8915292321179502,0.8775620312131687,0.8637497894320298
43,Zone 2,27,28,Married,4,23,High school degree,No,Male,No,No,No,Basic service,No,0,0.827334671460403,0.17266532853959704,13707.496022366982,False,0.9975691750986861,0.9890982758316061,0.9766083579599851,0.9617602603510241,0.9455713113392127,0.9286718978385189,0.9114628949569479,0.8942045232359416,0.8770678377383607,0.8601657102493023,0.8435721412177064,0.827334671460403
44,Zone 1,9,36,Married,14,62,College degree,No,Male,Yes,Yes,No,Total service,Yes,1,0.8978245535223419,0.10217544647765808,14249.257318332757,False,0.9991599446018247,0.9955950278480404,0.9896613327683662,0.9820057145752696,0.9731294791816036,0.9633965654006426,0.9530707773075253,0.9423452938215364,0.9313632331484374,0.9202317365161536,0.9090316925643458,0.8978245535223419
45,Zone 1,64,43,Married,20,76,College degree,No,Female,No,No,No,Plus service,No,0,0.9937193941193039,0.006280605880696122,14878.331104554034,False,0.9999937405261504,0.999939984487384,0.9998003492805578,0.9995559637916467,0.9991992633179266,0.9987288427822058,0.9981466883868884,0.9974566456810977,0.996663541955947,0.9957726700973432,0.9947894801432298,0.9937193941193039
46,Zone 1,65,41,Married,3,74,College degree,No,Male,Yes,Yes,No,E-service,No,0,0.8559950138313479,0.1440049861686521,13934.258843403006,False,0.9983315785063215,0.9920801209811192,0.9824442118405209,0.9706411423743291,0.9574799545579726,0.9434922101701367,0.9290335289077025,0.9143463142591758,0.8995982265485809,0.8849063466464125,0.8703527819378221,0.8559950138313479
47,Zone 1,49,51,Married,27,63,College degree,No,Male,No,Yes,No,E-service,No,0,0.9931238198347937,0.006876180165206303,14875.1166752005,False,0.9999927464764657,0.9999315650272989,0.9997744586071817,0.9995016759350093,0.9991059225296302,0.9985865219452775,0.9979463494792251,0.9971901663969356,0.9963236817665071,0.9953530103042936,0.9942843547569759,0.9931238198347937
48,Zone 3,47,41,Married,0,36,College degree,No,Male,No,Yes,No,Total service,Yes,1,0.9041393844099437,0.09586061559005632,14295.055495990839,False,0.9992582187270599,0.9960415544349506,0.9906152133738164,0.9835502591035669,0.9753026775906122,0.9662094724578202,0.9565182708681166,0.9464125218421826,0.9360295826012341,0.9254733315771391,0.9148229924881189,0.9041393844099437
49,Zone 3,9,34,Married,9,33,High school degree,No,Female,No,No,No,Basic service,Yes,1,0.8982274518968218,0.10177254810317815,14252.193736275154,False,0.9991664144585402,0.9956241698794194,0.9897232694067384,0.9821056402382646,0.9732696802199015,0.9635776183248841,0.9532922427712017,0.9426061290899972,0.9316620441305574,0.92056693523202,0.9094015970767294,0.8982274518968218
50,Zone 1,5,36,Unmarried,14,29,High school degree,No,Female,No,Yes,Yes,Plus service,Yes,1,0.8723791876614546,0.1276208123385454,14059.972506419812,False,0.9986941294055535,0.9935731926355256,0.9854556318943148,0.9753225888607929,0.9638619529753555,0.9515423614467742,0.9386868699938395,0.9255218219293515,0.9122080672621389,0.8988611485949671,0.8855646435522333,0.8723791876614546
51,Zone 2,30,34,Married,4,27,High school degree,No,Male,No,Yes,No,Basic service,Yes,1,0.6832570274685053,0.31674297253149475,12442.784166863656,True,0.9905931446842138,0.9661437821169827,0.935920011900512,0.9039905310989496,0.8721244909003085,0.8411298019702038,0.8113709626660701,0.7829937312671371,0.7560316908821747,0.7304601637613088,0.706224769401978,0.6832570274685053
52,Zone 1,56,52,Married,28,49,High school degree,No,Male,No,No,No,E-service,No,0,0.999203089403178,0.0007969105968219647,14906.483410300541,False,0.9999997540053286,0.9999967144009341,0.9999867486600807,0.9999662370319927,0.9999323758631605,0.9998830721838343,0.9998167974811336,0.9997324616214469,0.9996293135678714,0.9995068650240316,0.9993648319189,0.999203089403178
53,Zone 3,10,22,Unmarried,0,24,College degree,No,Male,Yes,Yes,Yes,Total service,No,0,0.5366341461189656,0.46336585388103435,10936.870444642349,True,0.9752542702066017,0.9253554803527828,0.872132499737925,0.8211512444348958,0.7738610277815372,0.7304728147802487,0.6907901016852571,0.6544915126997396,0.6212349748472161,0.5906964248464166,0.5625827297801332,0.5366341461189656
54,Zone 1,7,26,Married,3,26,High school degree,No,Male,No,No,No,Basic service,No,0,0.8039789198993219,0.1960210801006781,13516.468844694758,False,0.9968168713445231,0.9863083296340525,0.9713156887537262,0.9538824356934008,0.9351878281870809,0.9159301116452458,0.8965351951559615,0.8772679815460007,0.8582944435558246,0.8397178546786599,0.8216007876943824,0.8039789198993219
55,Zone 1,52,27,Unmarried,6,47,Some college,No,Male,No,No,No,Basic service,No,0,0.7400201031411182,0.2599798968588818,12965.562009124433,True,0.9940615857772453,0.9768964756644543,0.954292400751456,0.9293829763266352,0.9037249998946002,0.8781307755927527,0.8530353818661378,0.8286706436368481,0.8051538863227026,0.7825359808450327,0.7608285777682725,0.7400201031411182
56,Zone 2,36,45,Married,1,94,High school degree,No,Female,No,Yes,No,Basic service,Yes,1,0.7534096449870863,0.2465903550129137,13084.230404620139,False,0.9947306569167371,0.979092080779891,0.9581697275305978,0.9348680878620457,0.910675080521685,0.8863887667358885,0.8624498269606868,0.8391026054092005,0.8164787182954332,0.7946430147132332,0.773620011160575,0.7534096449870863
57,Zone 3,27,34,Unmarried,8,21,Some college,No,Female,No,No,No,E-service,No,0,0.9530464641425193,0.046953535857480744,14631.783441644056,False,0.9998055575005038,0.998757771557747,0.9967330441890392,0.9938417157533991,0.9902231582647154,0.9860049253238085,0.9812954904228175,0.9761850762935527,0.9707482939323532,0.9650468732969881,0.9591320390544653,0.9530464641425193
58,Zone 1,58,62,Married,36,27,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0.9982482136933827,0.00175178630661732,14901.855202657396,False,0.999999174717778,0.9999902175675951,0.9999631913957931,0.9999107019454151,0.999827791620239,0.9997112805626923,0.9995592429886123,0.9993706374291326,0.999145049412951,0.9988825111073948,0.9985833733480354,0.9982482136933827
59,Zone 2,41,52,Unmarried,27,30,High school degree,No,Female,No,No,Yes,Plus service,No,0,0.9957872022486879,0.004212797751312114,14889.303757343874,False,0.999996710875254,0.9999662046490893,0.9998829677697971,0.9997322351983733,0.9995064654338908,0.9992024670105327,0.9988196795512208,0.9983591466722902,0.9978228868531067,0.9972134985381917,0.9965339073830708,0.9957872022486879
60,Zone 2,47,40,Married,16,127,College degree,No,Female,No,Yes,No,E-service,No,0,0.9643440536504575,0.0356559463495425,14704.250240738631,False,0.9998814760858677,0.9991935834028853,0.9978006555058252,0.9957469273887851,0.9931139114212042,0.9899846456233754,0.986434217079429,0.9825278772566104,0.9783214995451858,0.9738626951333271,0.9691920155984451,0.9643440536504575
61,Zone 2,55,39,Married,15,137,High school degree,No,Female,Yes,No,Yes,Plus service,Yes,1,0.9695611633333263,0.030438836666673685,14736.867592062574,False,0.9999104327958079,0.9993689751372575,0.9982439643030302,0.9965557448591459,0.9943623359544095,0.9917275653406595,0.9887114601961249,0.9853675837596491,0.9817427406745921,0.9778774866913346,0.9738068665555609,0.9695611633333263
62,Zone 2,56,50,Married,1,80,High school degree,No,Female,Yes,No,Yes,Total service,No,0,0.9693693622402253,0.030630637759774704,14735.678794303049,False,0.9999094361712079,0.9993628255783429,0.9982282524041157,0.9965268587921613,0.9943174855802273,0.9916646474962271,0.9886289186665336,0.9852642921738053,0.9816179098695276,0.9777305925579819,0.9736375939353376,0.9693693622402253
63,Zone 3,35,55,Unmarried,24,30,High school degree,No,Male,No,No,No,Basic service,No,0,0.9773141110412997,0.022685888958700273,14784.19902738871,False,0.9999463730300995,0.9995978067507142,0.9988395474322354,0.997665278414788,0.9961028910614833,0.9941899714006532,0.9919650653247337,0.9894644761537251,0.9867212052258281,0.9837647648743778,0.9806213451273773,0.9773141110412997
64,Zone 2,69,51,Married,11,438,College degree,No,Female,No,Yes,No,Total service,No,0,0.9736845335628654,0.02631546643713456,14762.22168819519,False,0.9999306043563305,0.9994955381997234,0.998570517590395,0.9971603143740493,0.9953061376703275,0.9930574601185326,0.9904627129903729,0.9875662399899761,0.9844075395248951,0.9810213705531465,0.9774381667728813,0.9736845335628654
65,Zone 2,44,39,Unmarried,16,79,High school degree,No,Male,No,Yes,Yes,Total service,Yes,1,0.9235304531893217,0.0764695468106783,14432.560139503054,False,0.9995193286214853,0.9972763274277715,0.9933157484197565,0.9879969107657581,0.9816412689004407,0.9745019530955316,0.9667738317075258,0.9586069541055463,0.9501175991708338,0.9413965755215628,0.9325153312717859,0.9235304531893217
66,Zone 3,36,47,Married,16,63,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0.9684242835592296,0.031575716440770396,14729.809304866458,False,0.9999044497135012,0.9993321883774461,0.998150170707782,0.996383560890663,0.9940952973272755,0.991353302634794,0.9882208543798007,0.9847540640676276,0.9810017311761876,0.9770059763492878,0.9728030756326889,0.9684242835592296
67,Zone 3,28,51,Married,22,40,Some college,No,Female,No,No,Yes,Plus service,No,0,0.9973028933497294,0.0026971066502705643,14897.117183428369,False,0.9999983791055667,0.9999820649345066,0.9999351612631174,0.9998470796898211,0.9997114593706448,0.9995247524959029,0.9992852611518843,0.9989925122159411,0.9986468483039224,0.9982491553785247,0.9978006781888192,0.9973028933497294
68,Zone 1,72,67,Married,44,51,Did not complete high school,Yes,Male,No,No,Yes,Plus service,No,0,0.9999586380970003,4.136190299974807e-05,14909.918427472825,False,0.9999999968528458,0.999999937646442,0.9999996836204488,0.9999990518488161,0.9999978469573463,0.9999958762186464,0.9999929565509948,0.9999889175621289,0.9999836025927377,0.999976868730603,0.9999685862999598,0.9999586380970003
69,Zone 1,16,27,Unmarried,5,37,Some college,No,Male,No,No,No,Basic service,No,0,0.7294464209086611,0.2705535790913389,12870.602090907887,True,0.9934953613325385,0.9750738572138165,0.9511098763149788,0.9249167040588939,0.8981009424635582,0.8714822115275891,0.8454882444193272,0.8203388805590995,0.796138662216323,0.7729263523578624,0.7507026761092154,0.7294464209086611
70,Zone 3,3,43,Unmarried,19,61,College degree,No,Female,No,Yes,No,Basic service,Yes,1,0.8088092522602606,0.19119074773973943,13556.427445789555,False,0.9969826718003975,0.9869125300912953,0.9724501149655238,0.955558580142662,0.9373844751000472,0.9186130401599237,0.899665915672122,0.8808077666811472,0.8622061863764173,0.8439668721945286,0.8261550975360834,0.8088092522602606
71,Zone 1,40,57,Married,15,22,High school degree,No,Male,No,No,No,Basic service,No,0,0.982282109999518,0.01771789000048196,14813.703394780056,False,0.9999649165028005,0.9997232499477041,0.9991778028672055,0.9983114346311194,0.9971364348920508,0.9956755506468818,0.9939544908183984,0.9919988021779811,0.9898325756994543,0.9874779681242505,0.9849550975964442,0.982282109999518
72,Zone 3,16,39,Unmarried,6,44,College degree,No,Female,No,Yes,No,E-service,No,0,0.8677879339810954,0.13221206601890456,14025.039523158324,False,0.9985976554033493,0.993170053847168,0.9846356090655424,0.9740401533394969,0.9621055527056119,0.9493184868952634,0.9360116021966072,0.9224161673291764,0.9086953021322133,0.8949652788054481,0.8813095064090946,0.8677879339810954
73,Zone 1,20,42,Unmarried,4,17,Some college,No,Male,No,No,No,Basic service,No,0,0.8401568076076332,0.15984319239236677,13810.004212139203,False,0.997931213296486,0.9904913634227503,0.979308621810752,0.9658412034553202,0.9510141868999205,0.9354156910434399,0.9194282572283119,0.9033057670797251,0.8872190840379524,0.871284021808336,0.855579046227174,0.8401568076076332
74,Zone 2,48,43,Unmarried,13,110,Post-undergraduate degree,No,Female,Yes,Yes,No,E-service,No,0,0.8651184036022865,0.13488159639771347,14004.621782139391,False,0.9985397479572096,0.9929302105318205,0.9841502705241825,0.9732839225629103,0.9610727892700323,0.9480138998464008,0.9344453126325546,0.9206010086372367,0.9066452977721884,0.8926947688120415,0.8788326446900667,0.8651184036022865
